Temperature_K,SOC,Frequency_Hz,Re_Z,Im_Z
278.15,0.5,2086.064493,0.0104660785465,-0.000104175
278.15,0.5,2435.312073,0.0104368981806,-5.75079509e-05
278.15,0.5,2843.030459,0.0104404717285,7.38629012e-05
278.15,0.5,3319.008796,0.0104748054594,-9.51730574e-06
278.15,0.5,3874.67512,0.0104205875605,0.00012208878
278.15,0.5,4523.370745,0.0103606423092,0.00021570469
278.15,0.5,5280.670575,0.0104315770397,0.000219854516
278.15,0.5,6164.757056,0.0103625988446,0.000261248466
278.15,0.5,7196.85673,0.0103363604807,0.000389869018
278.15,0.5,8401.749869,0.0102877356102,0.000419213287
278.15,0.5,9808.365445,0.010288151781,0.000494476749
278.15,0.5,11450.4757,0.0102737123499,0.000592945953
278.15,0.5,13367.507,0.0101519441917,0.00078818715
278.15,0.5,15605.48645,0.0103383593905,0.000910311659
278.15,0.5,18218.14699,0.0103052665739,0.00112316031
278.15,0.5,21268.21747,0.0102554292076,0.00122246891
278.15,0.5,24828.92881,0.0103116205291,0.00145216742
278.15,0.5,28985.77215,0.0102715942097,0.00171174688
278.15,0.5,33838.55153,0.0102601595242,0.00205876305
278.15,0.5,39503.78014,0.0101031577799,0.00236848491
278.15,0.5,46117.47768,0.0102138891275,0.00287422908
278.15,0.5,53838.43622,0.0102483871954,0.00333299685
278.15,0.5,62852.03269,0.0103018045709,0.00383189127
278.15,0.5,73374.67971,0.0103112232837,0.00438520794
278.15,0.5,85659.02154,0.0102854077109,0.00522164684
278.15,0.5,100000,0.0101293112099,0.00631755603
278.15,0.7,0.001,0.0127090853831,-0.00107250714
278.15,0.7,0.001167419359,0.012862292967,-0.00097040846
278.15,0.7,0.001362867959,0.0127979652154,-0.000936722913
278.15,0.7,0.001591038439,0.0128230779958,-0.00082915911
278.15,0.7,0.001857409075,0.0127125999935,-0.000933894149
278.15,0.7,0.002168375311,0.0126867932369,-0.000904468642
278.15,0.7,0.002531403315,0.0125233148279,-0.000852236365
278.15,0.7,0.002955209235,0.0125853746262,-0.00071788187
278.15,0.7,0.003449968471,0.0124639187208,-0.000650164612
278.15,0.7,0.00402755998,0.0124459549172,-0.000633435298
278.15,0.7,0.004701851489,0.0123857177354,-0.000635093927
278.15,0.7,0.005489032451,0.0122865508674,-0.000666044519
278.15,0.7,0.006408002744,0.0122550871204,-0.000495022918
278.15,0.7,0.007480826455,0.0121834986251,-0.000515767478
278.15,0.7,0.008733261624,0.0121862239042,-0.000454469421
278.15,0.7,0.01019537869,0.0121331442069,-0.000413735049
278.15,0.7,0.01190228245,0.0120385590849,-0.000396008005
278.15,0.7,0.01389495494,0.0120103091295,-0.000372883062
278.15,0.7,0.01622123939,0.012129094267,-0.000329819773
278.15,0.7,0.01893698889,0.012000148715,-0.000340319458
278.15,0.7,0.02210740743,0.012050551511,-0.000219670695
278.15,0.7,0.0258086154,0.0120016881301,-0.000219904528
278.15,0.7,0.03012947725,0.0119331835993,-0.000126357439
278.15,0.7,0.03517373501,0.0119124039837,-0.000275844747
278.15,0.7,0.04106249917,0.0119557877476,-7.99758793e-05
278.15,0.7,0.04793715646,0.0119563537374,-0.000138765734
278.15,0.7,0.05596276445,0.0119709635099,-0.000130409894
278.15,0.7,0.0653320146,0.0118527491764,-0.000156549071
278.15,0.7,0.07626985859,0.0118875174664,-0.000146411398
278.15,0.7,0.08903890941,0.0119125340215,-0.000177184547
278.15,0.7,0.1039457465,0.0120092493144,-2.62121693e-05
278.15,0.7,0.1213482768,0.0117694677817,-8.51247212e-05
278.15,0.7,0.1416643275,0.0119326572012,-2.32310806e-05
278.15,0.7,0.1653816783,0.0118711893295,-1.11019211e-05
278.15,0.7,0.1930697729,0.0119260932593,-8.52778891e-05
278.15,0.7,0.2253933905,0.0118684913835,-6.5620991e-05
278.15,0.7,0.2631286074,0.0119169820037,-6.85559412e-05
278.15,0.7,0.3071814301,0.0119860596882,1.58446696e-05
278.15,0.7,0.3586095482,0.0119119451629,-3.51909591e-05
278.15,0.7,0.4186477288,0.0119146450476,-3.13344059e-05
278.15,0.7,0.4887374632,0.0119091416534,2.57710071e-06
